,,,,,,,CUT OF RANKS -COMEDK UGET 2016,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Notified on 3rd June 2017,,,,
INSTITUTE,CATEGORY,,,,,,,,,,,,COURSES,,,,,,,,,,,
,,MAR,AERO,AR,AS,AUTO,BIOM,BT,CE,CHE,CSE,CT,CTM,ECE,EEE,EIE,IEM,ISE,IT,ME,MECH,MED,MIN,TE
THE NATIONAL INSTITUTE OF ENGINEERING,HKR,,,,,,,,,,14280,,,24472,,,,18845,,23370,,,,
VEMANA INSTITUTE OF TECHNOLOGY,GM,,,,,,,,,,54316,,,,,,,,,,,,,
VIDYA VIKAS INSTITUTE OF ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,
AND TECHNOLOGY,GM,,,,,,,,52261,,47384,,,,,,,,,,,,,
VIDYAVARDHAKA COLLEGE OF ENGINEERING,GM,,,,,,,,50070,,27721,,,38669,43800,,,50258,,47604,,,,
,LEGEND,,,
Course,,,,Description of Admission
Name,Description of Course,,Category,Category/Type of Seat
CSE,COMPUTER SCIENCE AND ENGINEERING,,GM,General Category
ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,,HKR,Hyderabad-Karnataka Region
ME,MECHANICAL ENGINEERING,,SC,Shift Course
ISE,INFORMATION SCIENCE AND ENGINEERING,,CHR,Christian Minority
CE,CIVIL ENGINEERING,,TLU,Tulu Minority
CHE,CHEMICAL ENGINEERING,,,
EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,,,
AS,AEROSPACE ENGINEERING,,,
TE,TELECOMMUNICATION ENGINEERING,,,
BT,BIOTECHNOLOGY,,,
,ELECTRONICS AND INSTRUMENTATION ENGINEERING,,,
EIE,(INSTRUMENTATION TECHNOLOGY),,,
IEM,INDUSTRIAL ENGINEERING AND MANAGEMENT,,,
MED,MEDICAL ELECTRONICS,,,
AERO,AERONAUTICAL ENGINEERING,,,
MECH,MECHATRONICS ENGINEERING,,,
AUTO,AUTOMOBILE ENGINEERING,,,
IT,INFORMATION TECHNOLOGY,,,
MAR,MARINE ENGINEERING,,,
CTM,CONSTRUCTION TECHNOLOGY AND MANAGEMENT,,,
AR,AUTOMATION AND ROBOTICS ENGINEERING,,,
CT,Computer Technology,,,
BIOM,BIO-MEDICAL ENGINEERING,,,
MIN,MINING ENGINEERING,,,
